"","Lambda","VV","VO","VB","BSV","BIV","BLV","ER","STD","RAS"
"129",1.29,0.3,0.197581302772309,0.176869628421122,0,0.0255490688065695,0.3,0.0464926509726209,0.130225269767663,0.742
"130",1.3,0.3,0.195739005410778,0.17512990357458,0,0.0291310910146421,0.3,0.0463621662783584,0.129449206712654,0.74
"131",1.31,0.3,0.193924834726521,0.173416739412719,0,0.03265842586076,0.3,0.0462336737168327,0.128686327019477,0.738
"132",1.32,0.3,0.192138151476875,0.171729532283612,0,0.0361323162395126,0.3,0.0461071280122999,0.127936324119977,0.736
"133",1.33,0.3,0.190378335644517,0.170067696690282,0,0.0395539676652007,0.3,0.0459824852506923,0.127198900673982,0.734
"134",1.34,0.3,0.188644785720104,0.168430664613271,0,0.0429245496666256,0.3,0.0458597028288103,0.126473768225611,0.732
"135",1.35,0.3,0.186936918016793,0.166817884863326,0,0.0462451971198809,0.3,0.0457387394057709,0.125760646874837,0.73
"136",1.36,0.3,0.185254166015002,0.165228822462645,0,0.0495170115223528,0.3,0.0456195548565998,0.125059264963535,0.728
"137",1.37,0.3,0.183595979735865,0.163662958053216,0,0.0527410622109197,0.3,0.0455021102278545,0.124369358775265,0.726
"138",1.38,0.3,0.181961825141933,0.162119787330879,0,0.0559183875271887,0.3,0.045386367695178,0.123690672248099,0.724
"139",1.39,0.3,0.18035118356374,0.160598820503827,0,0.0590499959324323,0.3,0.0452722905226839,0.12302295669983,0.722
"140",1.4,0.3,0.178763551150951,0.159099581774305,0,0.062136867074744,0.3,0.0451598430240826,0.122365970564949,0.72
"141",1.41,0.3,0.177198438346853,0.157621608842365,0,0.0651799528107822,0.3,0.0450489905254614,0.121719479142804,0.718
"142",1.42,0.3,0.175655369385067,0.156164452430593,0,0.0681801781843405,0.3,0.0449396993296377,0.121083254356389,0.716
"143",1.43,0.3,0.174133881807362,0.154727675828776,0,0.0711384423638626,0.3,0.0448319366820073,0.12045707452124,0.714
"144",1.44,0.3,0.172633526001569,0.153310854457539,0,0.0740556195408923,0.3,0.0447256707378163,0.119840724123954,0.712
"145",1.45,0.3,0.171153864758615,0.151913575450043,0,0.0769325597913415,0.3,0.0446208705307865,0.119233993609864,0.71
"146",1.46,0.3,0.169694472847756,0.150535437250871,0,0.0797700899013737,0.3,0.0445175059430311,0.118636679179422,0.708
"147",1.47,0.3,0.168254936609153,0.149176049231277,0,0.0825690141595692,0.3,0.0444155476761975,0.118048582592889,0.706
"148",1.48,0.3,0.166834853562964,0.147835031320058,0,0.0853301151169772,0.3,0.0443149672237806,0.117469510982933,0.704
"149",1.49,0.3,0.165433832034174,0.146512013649257,0,0.0880541543165688,0.3,0.0442157368445505,0.116899276674762,0.702
"150",1.5,0.3,0.164051490792434,0.145206636214067,0,0.0907418729934989,0.3,0.0441178295370435,0.116337697013439,0.7
